,dateRep,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
46919,14/12/2020,28080,488,263.66356427
46920,13/12/2020,28137,560,262.70587705
46921,12/12/2020,28585,613,261.99498109
46922,11/12/2020,27927,562,261.28065747
46923,10/12/2020,26190,559,259.6079611
46924,09/12/2020,26097,562,257.88384988
46925,08/12/2020,28142,456,256.66977395
46926,07/12/2020,29039,457,254.63443152
46927,06/12/2020,28782,508,251.57833299
46928,05/12/2020,27403,569,248.86362904
46929,04/12/2020,28145,554,246.74876498
46930,03/12/2020,25345,589,243.63988054
46931,02/12/2020,26402,569,240.65096407
46932,01/12/2020,26338,368,237.91432312
46933,30/11/2020,26683,459,235.47383169
46934,29/11/2020,27100,510,232.65561252
46935,28/11/2020,27543,496,229.64064586
46936,27/11/2020,25487,524,225.82909184
46937,26/11/2020,23675,507,223.16991593
46938,25/11/2020,24326,491,220.54844423
46939,24/11/2020,25173,361,218.25259991
46940,23/11/2020,24581,401,215.93893177
46941,22/11/2020,24822,467,213.13990748
46942,21/11/2020,24318,461,210.10574595
46943,20/11/2020,23610,463,207.54460101
46944,19/11/2020,20985,456,204.66125636
46945,18/11/2020,22410,442,203.82696477
46946,17/11/2020,22778,303,201.24799602
46947,16/11/2020,22572,352,198.14870901
46948,15/11/2020,22702,391,195.47033823
46949,14/11/2020,21983,411,192.34294444
46950,13/11/2020,21608,439,189.80647863
46951,12/11/2020,19851,432,187.13907634
46952,11/11/2020,20977,368,184.63757263
46953,10/11/2020,21798,256,181.60272556
46954,09/11/2020,20498,286,178.55142575
46955,08/11/2020,20396,364,175.95463318
46956,07/11/2020,20582,378,173.2981994
46957,06/11/2020,19404,292,171.07570692
46958,05/11/2020,19768,389,168.72227797
46959,04/11/2020,18648,355,165.93353664
46960,03/11/2020,18257,238,164.33693425
46961,02/11/2020,18665,245,162.77735054
46962,01/11/2020,18140,334,160.33274592
46963,31/10/2020,18283,355,158.1267062
46964,30/10/2020,17717,366,155.97893664
46965,29/10/2020,16202,346,153.2621761
46966,28/10/2020,16550,320,151.91099391
46967,27/10/2020,17347,219,150.07239896
46968,26/10/2020,16710,229,147.49822893
46969,25/10/2020,16521,296,145.38953465
46970,24/10/2020,17340,283,142.87020713
46971,23/10/2020,15971,290,139.29584693
46972,22/10/2020,15700,317,136.22603777
46973,21/10/2020,16319,269,133.08287676
46974,20/10/2020,15982,179,129.85813752
46975,19/10/2020,15099,185,126.36604108
46976,18/10/2020,14922,279,123.2125971
46977,17/10/2020,15150,232,119.74175213
46978,16/10/2020,13754,286,115.80817353
46979,15/10/2020,14231,239,112.51145351
46980,14/10/2020,13868,244,108.56964854
46981,13/10/2020,13592,125,104.70599413
46982,12/10/2020,13634,143,100.96504983
46983,11/10/2020,12846,197,97.01159083
46984,10/10/2020,12126,201,93.36250772
46985,09/10/2020,11493,191,89.99380691
46986,08/10/2020,11115,202,86.6360746
46987,07/10/2020,11615,188,83.425046
46988,06/10/2020,10888,117,79.72317698
46989,05/10/2020,10499,107,76.50666412
46990,04/10/2020,9859,174,73.52391743
46991,03/10/2020,9412,186,70.92301168
46992,02/10/2020,8945,169,68.51885341
46993,01/10/2020,8481,177,66.33680729
46994,30/09/2020,8232,160,64.4097788
46995,29/09/2020,8135,61,62.5567877
46996,28/09/2020,7867,99,60.75658251
46997,27/09/2020,7523,169,59.09896782
46998,26/09/2020,7212,108,57.70391163
46999,25/09/2020,6595,149,56.53302417
47000,24/09/2020,6431,150,55.68844961
47001,23/09/2020,6215,160,54.85690014
47002,22/09/2020,6196,71,54.09184721
47003,21/09/2020,6148,79,53.39877507
47004,20/09/2020,6065,144,52.74546374
47005,19/09/2020,5905,134,52.15590682
47006,18/09/2020,5762,144,51.61090944
47007,17/09/2020,5670,132,51.08510693
47008,16/09/2020,5529,150,50.59289546
47009,15/09/2020,5509,57,50.04447042
47010,14/09/2020,5449,94,49.69073626
47011,13/09/2020,5488,119,49.36922209
47012,12/09/2020,5504,102,48.99423646
47013,11/09/2020,5363,110,48.53150284
47014,10/09/2020,5218,160,48.08453643
47015,09/09/2020,5099,122,47.71297846
47016,08/09/2020,5185,51,47.43670935
47017,07/09/2020,5195,61,47.13439005
47018,06/09/2020,5205,110,46.89925281
47019,05/09/2020,5110,121,46.70456192
47020,04/09/2020,4995,114,46.54003441
47021,03/09/2020,4952,115,46.39607284
47022,02/09/2020,4729,123,46.31106696
47023,01/09/2020,4993,83,46.32409205
47024,31/08/2020,4980,68,46.25485339
47025,30/08/2020,4941,111,46.24731255
47026,29/08/2020,4829,110,46.3295763
47027,28/08/2020,4711,121,46.49136169
47028,27/08/2020,4676,115,46.72855552
47029,26/08/2020,4696,120,47.02059185
47030,25/08/2020,4744,65,47.19128915
47031,24/08/2020,4852,73,47.44767785
47032,23/08/2020,4921,121,47.6787019
47033,22/08/2020,4870,90,47.87819151
47034,21/08/2020,4785,110,48.13252362
47035,20/08/2020,4828,117,47.9721093
47036,19/08/2020,4748,132,48.72070948
47037,18/08/2020,4892,55,49.00246284
47038,17/08/2020,4969,68,49.34659955
47039,16/08/2020,5061,119,49.66057289
47040,15/08/2020,5065,114,49.93547094
47041,14/08/2020,5057,124,50.22133749
47042,13/08/2020,5102,129,50.53119764
47043,12/08/2020,4945,70,50.78690081
47044,11/08/2020,5118,130,51.0953899
47045,10/08/2020,5189,77,51.44980958
47046,09/08/2020,5212,129,51.84467561
47047,08/08/2020,5241,119,52.29644074
47048,07/08/2020,4551,74,52.68719358
47049,06/08/2020,5920,181,53.57632767
47050,05/08/2020,5159,144,53.53656686
47051,04/08/2020,5394,79,54.00478473
47052,03/08/2020,5427,70,54.37908482
47053,02/08/2020,5462,95,54.84661717
47054,01/08/2020,5482,161,55.37584733
47055,31/07/2020,5509,129,56.00927825
47056,30/07/2020,5475,169,56.63928152
47057,29/07/2020,5395,150,57.28847966
47058,28/07/2020,5635,85,57.87323786
47059,27/07/2020,5765,77,58.49158709
47060,26/07/2020,5871,146,59.0742887
47061,25/07/2020,5811,154,59.58158186
47062,24/07/2020,5848,147,60.14645965
47063,23/07/2020,5862,165,60.59959584
47064,22/07/2020,5842,153,61.07946775
